%time,field.data
3664500000000,-0.0113921165466
3664500000000,-0.0252721905708
3664540000000,-0.0457564592361
3664540000000,-0.0658019781113
3664580000000,-0.0860233306885
3664580000000,-0.106550991535
3664620000000,-0.124453783035
3664620000000,-0.146112859249
3664660000000,-0.16459697485
3664660000000,-0.182977020741
3664700000000,-0.203310728073
3664700000000,-0.221135914326
3664740000000,-0.239785134792
3664740000000,-0.25711107254
3664780000000,-0.274599909782
3664780000000,-0.292691469193
3664820000000,-0.309174418449
3664820000000,-0.326425254345
3664860000000,-0.342635452747
3664860000000,-0.359178364277
3664860000000,-0.376154005527
3664900000000,-0.392991125584
3664900000000,-0.408695816994
3664920000000,-0.425422012806
3664940000000,-0.44232159853
3664980000000,-0.460137188435
3665020000000,-0.476808071136
3665020000000,-0.494154214859
3665060000000,-0.510297864676
3665060000000,-0.527615368366
3665100000000,-0.543929457664
3665100000000,-0.561567395926
3665140000000,-0.5788192451
3665140000000,-0.595389902592
3665180000000,-0.610922515392
3665180000000,-0.628042548895
3665220000000,-0.64392837882
3665220000000,-0.659073859453
3665260000000,-0.674380868673
3665260000000,-0.688475906849
3665300000000,-0.701617449522
3665300000000,-0.702285081148
3665340000000,-0.698931097984
3665340000000,-0.696642100811
3665380000000,-0.692756384611
3665380000000,-0.688604414463
3665420000000,-0.683676362038
3665420000000,-0.67868489027
3665460000000,-0.673184663057
3665460000000,-0.666370242834
3665500000000,-0.660210728645
3665500000000,-0.652085751295
3665540000000,-0.64282220602
3665540000000,-0.634115725756
3665580000000,-0.622344613075
3665580000000,-0.611787199974
3665620000000,-0.601321130991
3665620000000,-0.587063342333
3665660000000,-0.574479073286
3665660000000,-0.561601251364
3665700000000,-0.547807097435
3665700000000,-0.535828977823
3665740000000,-0.522237867117
3665740000000,-0.509993433952
3665780000000,-0.497006893158
3665780000000,-0.48369705677
3665780000000,-0.469860672951
3665820000000,-0.458939194679
3665820000000,-0.445769667625
3665870000000,-0.435039162636
3665910000000,-0.42549687624
3665910000000,-0.415568828583
3665950000000,-0.40767621994
3665950000000,-0.401675760746
3665950000000,-0.397060334682
3665990000000,-0.393319368362
3665990000000,-0.389292240143
3666010000000,-0.385314583778
3666030000000,-0.380979239941
3666070000000,-0.378175079823
3666110000000,-0.376163542271
3666110000000,-0.371194779873
3666150000000,-0.367595493793
3666150000000,-0.363804280758
3666190000000,-0.36027854681
3666190000000,-0.350432276726
3666230000000,-0.340238332748
3666230000000,-0.327731013298
3666270000000,-0.315342247486
3666270000000,-0.301883995533
3666270000000,-0.289466917515
3666310000000,-0.276928007603
3666310000000,-0.264504134655
3666320000000,-0.251056373119
3666340000000,-0.243284702301
3666390000000,-0.235289871693
3666390000000,-0.226463139057
3666430000000,-0.216171860695
